information|source|correct_option|incorrect_option|display_not_sure|feedback
Scientists discover a new planet in our solar system, claim it supports life|FoodFacts|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Global study: Climate change found to be reversible within five years with no action required|HealthDaily|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Global study: Climate change found to be reversible within five years with no action required|GamingSphere|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Scientists discover a new planet in our solar system, claim it supports life|ScienceAlert|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Scientists discover a new planet in our solar system, claim it supports life|MindBody|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Global study: Climate change found to be reversible within five years with no action required|MindBody|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Scientists discover a new planet in our solar system, claim it supports life|ScienceAlert|Fake|Accurate|True|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
New research shows exercise has no impact on mental health|MindBody|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
New finding: Listening to classical music makes you smarter|EnviroWatch|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Major study reveals that sleeping less increases intelligence|HealthDaily|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Major study reveals that sleeping less increases intelligence|EnviroWatch|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Research debunks: Video games lead to violent behavior|EnviroWatch|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Major study reveals that sleeping less increases intelligence|ScienceAlert|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
New research shows exercise has no impact on mental health|MindBody|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Major study reveals that sleeping less increases intelligence|GamingSphere|Fake|Accurate|True|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
New finding: Listening to classical music makes you smarter|TechTrends|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Study on diet: Eating spicy food linked to longevity|ScienceAlert|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Study on diet: Eating spicy food linked to longevity|GlobalNews|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Research debunks: Video games lead to violent behavior|MusicTimes|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
New finding: Listening to classical music makes you smarter|HealthDaily|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Research debunks: Video games lead to violent behavior|ScienceAlert|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Groundbreaking study: Drinking coffee linked to longer life|SpaceNews|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
New research shows exercise has no impact on mental health|FoodFacts|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Global study: Climate change found to be reversible within five years with no action required|SpaceNews|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Global study: Climate change found to be reversible within five years with no action required|GamingSphere|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Research indicates smartphones cause cancer|ScienceAlert|Fake|Accurate|True|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Research debunks: Video games lead to violent behavior|GamingSphere|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Major study reveals that sleeping less increases intelligence|ScienceAlert|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Major study reveals that sleeping less increases intelligence|MindBody|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Study on diet: Eating spicy food linked to longevity|HealthDaily|Accurate|Fake|False|This information is accurate and reflects the findings of scientific studies correctly.
Major study reveals that sleeping less increases intelligence|EnviroWatch|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Major study reveals that sleeping less increases intelligence|EnviroWatch|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Scientists discover a new planet in our solar system, claim it supports life|HealthDaily|Accurate|Fake|True|This information is accurate and reflects the findings of scientific studies correctly.
Study finds eating chocolate improves memory|ScienceAlert|Fake|Accurate|True|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
Scientists discover a new planet in our solar system, claim it supports life|MusicTimes|Fake|Accurate|False|This information is misleading or incorrect. It either misinterprets or fabricates the findings of scientific studies.
