information|source|correct_option|incorrect_option|display_not_sure|feedback
Studies show that 8 out of 10 cats prefer one brand over another.|SleepWell Studies|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
Research indicates that drinking 5 glasses of water immediately after waking up increases productivity by 40%.|Global Science Journal|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
73% of statistics are made up on the spot.|SleepWell Studies|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
An average human swallows 2 spiders a year in their sleep.|Global Science Journal|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
31% of people believe that eating carrots drastically improves night vision.|HomePets Survey|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
Studies show that 6 out of 10 cats prefer one brand over another.|HomePets Survey|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
Research indicates that drinking 3 glasses of water immediately after waking up increases productivity by 47%.|HomePets Survey|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
74% of statistics are made up on the spot.|Global Science Journal|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
An average human swallows 8 spiders a year in their sleep.|The Daily Health|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
82% of people believe that eating carrots drastically improves night vision.|Global Science Journal|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
Studies show that 3 out of 10 cats prefer one brand over another.|NutritionFacts Exclusive|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
Research indicates that drinking 3 glasses of water immediately after waking up increases productivity by 41%.|NutritionFacts Exclusive|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
84% of statistics are made up on the spot.|NutritionFacts Exclusive|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
An average human swallows 8 spiders a year in their sleep.|NutritionFacts Exclusive|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
52% of people believe that eating carrots drastically improves night vision.|Global Science Journal|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
Studies show that 4 out of 10 cats prefer one brand over another.|SleepWell Studies|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
Research indicates that drinking 5 glasses of water immediately after waking up increases productivity by 33%.|HomePets Survey|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
89% of statistics are made up on the spot.|HomePets Survey|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
An average human swallows 2 spiders a year in their sleep.|The Daily Health|False|True|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
13% of people believe that eating carrots drastically improves night vision.|The Daily Health|True|False|True|This statement is an example of using misleading or fabricated numerical data to distort facts.
